Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 6,411711,,Community Worker,Patient management systems and electronic health records,,31052
ANZSCO 6,411711,,Community Worker,Business intelligence and decision support software,,31010
ANZSCO 6,411711,,Community Worker,Social media platforms,Trending,31063
ANZSCO 6,411712,,Disabilities Services Officer,Social media platforms,,31063
ANZSCO 6,411712,,Disabilities Services Officer,Business intelligence and decision support software,,31010
ANZSCO 6,411712,,Disabilities Services Officer,Patient management systems and electronic health records,,31052
ANZSCO 6,411713,,Family Support Worker,Business intelligence and decision support software,,31010
ANZSCO 6,411713,,Family Support Worker,Patient management systems and electronic health records,,31052
ANZSCO 6,411714,,Parole or Probation Officer,Business intelligence and decision support software,,31010
ANZSCO 6,411714,,Parole or Probation Officer,Patient management systems and electronic health records,,31052
ANZSCO 6,411715,,Residential Care Officer,Patient management systems and electronic health records,,31052
ANZSCO 6,411716,,Youth Worker,Business intelligence and decision support software,,31010
ANZSCO 6,411716,,Youth Worker,Patient management systems and electronic health records,,31052
ANZSCO 6,421111,,Child Care Worker,Social media platforms,,31063
ANZSCO 6,422112,,Integration Aide,Business intelligence and decision support software,,31010
ANZSCO 6,423111,,Aged or Disabled Carer,Patient management systems and electronic health records,,31052
ANZSCO 6,423211,,Dental Assistant,Accounting software,,31001
ANZSCO 6,423311,,Hospital Orderly,Medical imaging apparatus,,31045
ANZSCO 6,423311,,Hospital Orderly,Patient management systems and electronic health records,,31052
ANZSCO 6,423312,,Nursing Support Worker,Business intelligence and decision support software,,31010
ANZSCO 6,423312,,Nursing Support Worker,Enterprise resource planning ERP software,,31025
ANZSCO 6,423312,,Nursing Support Worker,"Medical examination, measurement, and monitoring devices",,31043
ANZSCO 6,423312,,Nursing Support Worker,Medical imaging apparatus,,31045
ANZSCO 6,423312,,Nursing Support Worker,Medical treatment devices,,31046
ANZSCO 6,423312,,Nursing Support Worker,Patient management systems and electronic health records,,31052
ANZSCO 6,423313,,Personal Care Assistant,Business intelligence and decision support software,,31010
ANZSCO 6,423313,,Personal Care Assistant,Customer relationship management CRM software,,31015
ANZSCO 6,423313,,Personal Care Assistant,Enterprise resource planning ERP software,,31025
ANZSCO 6,423313,,Personal Care Assistant,Software development and programming languages,,31064
ANZSCO 6,423314,,Therapy Aide,Business intelligence and decision support software,,31010
ANZSCO 6,431111,,Bar Attendant,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,431112,,Barista,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,431211,,Cafe Worker,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,431411,,Hotel Service Manager,Social media platforms,,31063
ANZSCO 6,431411,,Hotel Service Manager,Bookings and reservations software,,31009
ANZSCO 6,431411,,Hotel Service Manager,Enterprise resource planning ERP software,,31025
ANZSCO 6,431411,,Hotel Service Manager,Hotel and property management systems,,31034
ANZSCO 6,431411,,Hotel Service Manager,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,431411,,Hotel Service Manager,Premise automated branch exchange (PABX) systems,,31055
ANZSCO 6,431511,,Waiter,Social media platforms,,31063
ANZSCO 6,431511,,Waiter,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,431912,,Doorperson or Luggage Porter,Hotel and property management systems,Emerging,31034
ANZSCO 6,441211,,Emergency Service Worker,Patient management systems and electronic health records,,31052
ANZSCO 6,441212,,Fire Fighter,Business intelligence and decision support software,,31010
ANZSCO 6,441212,,Fire Fighter,GPS and navigation technologies,,31032
ANZSCO 6,441212,,Fire Fighter,Mapping software,,31041
ANZSCO 6,441212,,Fire Fighter,Project management software,,31056
ANZSCO 6,441212,,Fire Fighter,Radio frequency transmitters or receivers,,31059
ANZSCO 6,441311,,Detective,Business intelligence and decision support software,,31010
ANZSCO 6,441311,,Detective,Graphics or photo imaging software,,31033
ANZSCO 6,441311,,Detective,Mapping software,,31041
ANZSCO 6,441312,,Police Officer,Business intelligence and decision support software,,31010
ANZSCO 6,441312,,Police Officer,GPS and navigation technologies,,31032
ANZSCO 6,441312,,Police Officer,Graphics or photo imaging software,,31033
ANZSCO 6,441312,,Police Officer,Mapping software,,31041
ANZSCO 6,442111,,Prison Officer,Business intelligence and decision support software,,31010
ANZSCO 6,442111,,Prison Officer,Radio frequency transmitters or receivers,,31059
ANZSCO 6,442214,,Private Investigator,GPS and navigation technologies,,31032
ANZSCO 6,442215,,Retail Loss Prevention Officer,Business intelligence and decision support software,,31010
ANZSCO 6,442215,,Retail Loss Prevention Officer,Network security and virtual private network VPN software,,31049
ANZSCO 6,442216,,Security Consultant,Enterprise resource planning ERP software,,31025
ANZSCO 6,442216,,Security Consultant,Network security and virtual private network VPN software,,31049
ANZSCO 6,442216,,Security Consultant,Database management software,,31017
ANZSCO 6,442216,,Security Consultant,Software development and programming languages,,31064
ANZSCO 6,442216,,Security Consultant,Business intelligence and decision support software,,31010
ANZSCO 6,442216,,Security Consultant,Enterprise system management software,,31026
ANZSCO 6,442216,,Security Consultant,Application server software,Emerging,31004
ANZSCO 6,442217,,Security Officer,Network security and virtual private network VPN software,,31049
ANZSCO 6,442217,,Security Officer,Project management software,,31056
ANZSCO 6,442217,,Security Officer,Network monitoring software,,31048
ANZSCO 6,451211,,Driving Instructor,Social media platforms,,31063
ANZSCO 6,451211,,Driving Instructor,Business intelligence and decision support software,,31010
ANZSCO 6,451211,,Driving Instructor,Document management and code versioning software,,31020
ANZSCO 6,451211,,Driving Instructor,Graphics or photo imaging software,,31033
ANZSCO 6,451211,,Driving Instructor,Software development and programming languages,,31064
ANZSCO 6,451612,,Travel Consultant,Accounting software,,31001
ANZSCO 6,451612,,Travel Consultant,Audio/video conferencing software,Emerging,31005
ANZSCO 6,451612,,Travel Consultant,Bookings and reservations software,,31009
ANZSCO 6,451711,,Flight Attendant,Point of sale (POS) and EFTPOS systems,,31054
ANZSCO 6,452111,,Fitness Instructor,Accounting software,,31001
ANZSCO 6,452111,,Fitness Instructor,Social media platforms,,31063
ANZSCO 6,452211,,Bungy Jump Master,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452212,,Fishing Guide,GPS and navigation technologies,,31032
ANZSCO 6,452212,,Fishing Guide,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452213,,Hunting Guide,Document management and code versioning software,,31020
ANZSCO 6,452213,,Hunting Guide,GPS and navigation technologies,,31032
ANZSCO 6,452213,,Hunting Guide,Mapping software,,31041
ANZSCO 6,452214,,Mountain or Glacier Guide,Document management and code versioning software,,31020
ANZSCO 6,452214,,Mountain or Glacier Guide,GPS and navigation technologies,,31032
ANZSCO 6,452214,,Mountain or Glacier Guide,Mapping software,,31041
ANZSCO 6,452214,,Mountain or Glacier Guide,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452215,,Outdoor Adventure Instructor,GPS and navigation technologies,,31032
ANZSCO 6,452215,,Outdoor Adventure Instructor,Mapping software,,31041
ANZSCO 6,452215,,Outdoor Adventure Instructor,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452216,,Trekking Guide,Document management and code versioning software,,31020
ANZSCO 6,452216,,Trekking Guide,GPS and navigation technologies,,31032
ANZSCO 6,452216,,Trekking Guide,Mapping software,,31041
ANZSCO 6,452216,,Trekking Guide,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452217,,Whitewater Rafting Guide,GPS and navigation technologies,,31032
ANZSCO 6,452217,,Whitewater Rafting Guide,Radio frequency transmitters or receivers,,31059
ANZSCO 6,452322,,Sports Umpire,Business intelligence and decision support software,,31010
ANZSCO 6,452414,,Lifeguard,GPS and navigation technologies,,31032
ANZSCO 6,511111,,Contract Administrator,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,511111,,Contract Administrator,Project management software,,31056
ANZSCO 6,511111,,Contract Administrator,Financial analysis software,,31029
ANZSCO 6,511111,,Contract Administrator,Graphics or photo imaging software,,31033
ANZSCO 6,511111,,Contract Administrator,Business intelligence and decision support software,,31010
ANZSCO 6,511112,,Program or Project Administrator,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,511112,,Program or Project Administrator,Project management software,,31056
ANZSCO 6,511112,,Program or Project Administrator,Content workflow software,,31013
ANZSCO 6,511112,,Program or Project Administrator,Graphics or photo imaging software,,31033
ANZSCO 6,511112,,Program or Project Administrator,Business intelligence and decision support software,,31010
ANZSCO 6,512111,,Office Manager,Enterprise resource planning ERP software,,31025
ANZSCO 6,512111,,Office Manager,Customer relationship management CRM software,,31015
ANZSCO 6,512111,,Office Manager,Accounting software,,31001
ANZSCO 6,512111,,Office Manager,Business intelligence and decision support software,,31010
ANZSCO 6,512111,,Office Manager,Project management software,,31056
ANZSCO 6,512111,,Office Manager,Application server software,,31004
ANZSCO 6,512111,,Office Manager,Social media platforms,,31063
ANZSCO 6,512211,,Health Practice Manager,Social media platforms,,31063
ANZSCO 6,512211,,Health Practice Manager,Enterprise resource planning ERP software,,31025
ANZSCO 6,512211,,Health Practice Manager,Business intelligence and decision support software,,31010
ANZSCO 6,521111,,Personal Assistant,Audio/video conferencing software,,31005
ANZSCO 6,521111,,Personal Assistant,Enterprise resource planning ERP software,,31025
ANZSCO 6,521111,,Personal Assistant,Project management software,,31056
ANZSCO 6,521111,,Personal Assistant,Customer relationship management CRM software,,31015
ANZSCO 6,521111,,Personal Assistant,Document management and code versioning software,,31020
ANZSCO 6,521111,,Personal Assistant,Social media platforms,,31063
ANZSCO 6,521211,,Secretary (General),Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,521211,,Secretary (General),Project management software,,31056
ANZSCO 6,521211,,Secretary (General),Business intelligence and decision support software,,31010
ANZSCO 6,521211,,Secretary (General),Graphics or photo imaging software,,31033
ANZSCO 6,521211,,Secretary (General),Document management and code versioning software,,31020
ANZSCO 6,521212,,Legal Secretary,Document management and code versioning software,,31020
ANZSCO 6,521212,,Legal Secretary,Graphics or photo imaging software,,31033
ANZSCO 6,521212,,Legal Secretary,Business intelligence and decision support software,,31010
ANZSCO 6,521212,,Legal Secretary,Accounting software,,31001
ANZSCO 6,521212,,Legal Secretary,Social media platforms,Emerging,31063
ANZSCO 6,531111,,General Clerk,Enterprise resource planning ERP software,,31025
ANZSCO 6,531111,,General Clerk,Business intelligence and decision support software,,31010
ANZSCO 6,531111,,General Clerk,Social media platforms,,31063
ANZSCO 6,531111,,General Clerk,Customer relationship management CRM software,,31015
ANZSCO 6,532111,,Data Entry Operator,Enterprise resource planning ERP software,Trending,31025
