Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,Technology Tool,Emerging/Trending,Technology Tool ID
ANZSCO 6,221212,,Corporate Treasurer,Business intelligence and decision support software,,31010
ANZSCO 6,221212,,Corporate Treasurer,Audio/video conferencing software,,31005
ANZSCO 6,221212,,Corporate Treasurer,Financial analysis software,,31029
ANZSCO 6,221212,,Corporate Treasurer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,221213,,External Auditor,Financial analysis software,,31029
ANZSCO 6,221213,,External Auditor,Enterprise resource planning ERP software,,31025
ANZSCO 6,221213,,External Auditor,Regulatory compliance software,,31060
ANZSCO 6,221213,,External Auditor,Accounting software,,31001
ANZSCO 6,221213,,External Auditor,Business intelligence and decision support software,,31010
ANZSCO 6,221213,,External Auditor,Statistical and data analysis software,,31066
ANZSCO 6,221214,,Internal Auditor,Enterprise resource planning ERP software,,31025
ANZSCO 6,221214,,Internal Auditor,Regulatory compliance software,Trending,31060
ANZSCO 6,221214,,Internal Auditor,Graphics or photo imaging software,,31033
ANZSCO 6,221214,,Internal Auditor,Business intelligence and decision support software,,31010
ANZSCO 6,221214,,Internal Auditor,Financial analysis software,,31029
ANZSCO 6,221214,,Internal Auditor,Statistical and data analysis software,,31066
ANZSCO 6,221214,,Internal Auditor,Network security and virtual private network VPN software,,31049
ANZSCO 6,222111,,Commodities Trader,Financial and commodities services software,,31030
ANZSCO 6,222111,,Commodities Trader,Statistical and data analysis software,Emerging,31066
ANZSCO 6,222111,,Commodities Trader,Financial analysis software,Emerging,31029
ANZSCO 6,222111,,Commodities Trader,Software development and programming languages,,31064
ANZSCO 6,222311,,Financial Investment Adviser,Financial analysis software,,31029
ANZSCO 6,222311,,Financial Investment Adviser,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,222311,,Financial Investment Adviser,Customer relationship management CRM software,,31015
ANZSCO 6,222311,,Financial Investment Adviser,Accounting software,,31001
ANZSCO 6,222311,,Financial Investment Adviser,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,222311,,Financial Investment Adviser,Financial and commodities services software,,31030
ANZSCO 6,222311,,Financial Investment Adviser,Statistical and data analysis software,,31066
ANZSCO 6,222312,,Financial Investment Manager,Financial and commodities services software,,31030
ANZSCO 6,222312,,Financial Investment Manager,Enterprise resource planning ERP software,,31025
ANZSCO 6,222312,,Financial Investment Manager,Statistical and data analysis software,,31066
ANZSCO 6,222312,,Financial Investment Manager,Graphics or photo imaging software,,31033
ANZSCO 6,222312,,Financial Investment Manager,Project management software,,31056
ANZSCO 6,222312,,Financial Investment Manager,Business intelligence and decision support software,,31010
ANZSCO 6,222312,,Financial Investment Manager,Network security and virtual private network VPN software,,31049
ANZSCO 6,223111,,Human Resource Adviser,Enterprise resource planning ERP software,,31025
ANZSCO 6,223111,,Human Resource Adviser,Business intelligence and decision support software,,31010
ANZSCO 6,223111,,Human Resource Adviser,Social media platforms,,31063
ANZSCO 6,223111,,Human Resource Adviser,Financial analysis software,,31029
ANZSCO 6,223111,,Human Resource Adviser,Project management software,,31056
ANZSCO 6,223111,,Human Resource Adviser,Human resources software,Trending,31035
ANZSCO 6,223112,,Recruitment Consultant,Social media platforms,Trending,31063
ANZSCO 6,223112,,Recruitment Consultant,Human resources software,,31035
ANZSCO 6,223112,,Recruitment Consultant,Enterprise resource planning ERP software,,31025
ANZSCO 6,223112,,Recruitment Consultant,Business intelligence and decision support software,,31010
ANZSCO 6,223112,,Recruitment Consultant,Customer relationship management CRM software,,31015
ANZSCO 6,223113,,Workplace Relations Adviser,Enterprise resource planning ERP software,,31025
ANZSCO 6,223113,,Workplace Relations Adviser,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,223113,,Workplace Relations Adviser,Human resources software,Trending,31035
ANZSCO 6,223311,,Training and Development Professional,Enterprise resource planning ERP software,,31025
ANZSCO 6,223311,,Training and Development Professional,E-learning software,,31022
ANZSCO 6,223311,,Training and Development Professional,Graphics or photo imaging software,,31033
ANZSCO 6,223311,,Training and Development Professional,Software development and programming languages,,31064
ANZSCO 6,223311,,Training and Development Professional,Project management software,,31056
ANZSCO 6,224111,,Actuary,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,224111,,Actuary,Statistical and data analysis software,Emerging,31066
ANZSCO 6,224111,,Actuary,Software development and programming languages,,31064
ANZSCO 6,224112,,Mathematician,Statistical and data analysis software,,31066
ANZSCO 6,224112,,Mathematician,Business intelligence and decision support software,,31010
ANZSCO 6,224112,,Mathematician,Database management software,,31017
ANZSCO 6,224112,,Mathematician,Software development and programming languages,,31064
ANZSCO 6,224113,,Statistician,Business intelligence and decision support software,Trending,31010
ANZSCO 6,224113,,Statistician,Software development and programming languages,,31064
ANZSCO 6,224113,,Statistician,Statistical and data analysis software,Trending,31066
ANZSCO 6,224113,,Statistician,Customer relationship management CRM software,Trending,31015
ANZSCO 6,224113,,Statistician,Data conversion software,Trending,31016
ANZSCO 6,224113,,Statistician,Database management software,,31017
ANZSCO 6,224113,,Statistician,Enterprise resource planning ERP software,,31025
ANZSCO 6,224211,,Archivist,Business intelligence and decision support software,,31010
ANZSCO 6,224211,,Archivist,Document management and code versioning software,,31020
ANZSCO 6,224211,,Archivist,Enterprise application integration software,,31024
ANZSCO 6,224211,,Archivist,Graphics or photo imaging software,,31033
ANZSCO 6,224211,,Archivist,Video creation and editing software,,31068
ANZSCO 6,224212,,Gallery or Museum Curator,Graphics or photo imaging software,,31033
ANZSCO 6,224212,,Gallery or Museum Curator,Business intelligence and decision support software,,31010
ANZSCO 6,224212,,Gallery or Museum Curator,Social media platforms,Emerging,31063
ANZSCO 6,224212,,Gallery or Museum Curator,Software development and programming languages,,31064
ANZSCO 6,224212,,Gallery or Museum Curator,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,224213,,Health Information Manager,Graphics or photo imaging software,,31033
ANZSCO 6,224213,,Health Information Manager,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,224213,,Health Information Manager,Project management software,,31056
ANZSCO 6,224213,,Health Information Manager,Enterprise resource planning ERP software,,31025
ANZSCO 6,224214,,Records Manager,Project management software,,31056
ANZSCO 6,224214,,Records Manager,Social media platforms,,31063
ANZSCO 6,224214,,Records Manager,Application server software,,31004
ANZSCO 6,224214,,Records Manager,Business intelligence and decision support software,,31010
ANZSCO 6,224214,,Records Manager,Software development and programming languages,,31064
ANZSCO 6,224214,,Records Manager,Statistical and data analysis software,,31066
ANZSCO 6,224311,,Economist,Statistical and data analysis software,,31066
ANZSCO 6,224311,,Economist,Software development and programming languages,,31064
ANZSCO 6,224311,,Economist,Business intelligence and decision support software,,31010
ANZSCO 6,224311,,Economist,Database management software,,31017
ANZSCO 6,224311,,Economist,Financial analysis software,,31029
ANZSCO 6,224411,,Intelligence Officer,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,224411,,Intelligence Officer,Statistical and data analysis software,,31066
ANZSCO 6,224411,,Intelligence Officer,Software development and programming languages,,31064
ANZSCO 6,224411,,Intelligence Officer,Enterprise resource planning ERP software,,31025
ANZSCO 6,224411,,Intelligence Officer,Network security and virtual private network VPN software,,31049
ANZSCO 6,224412,,Policy Analyst,Enterprise resource planning ERP software,,31025
ANZSCO 6,224412,,Policy Analyst,Project management software,,31056
ANZSCO 6,224412,,Policy Analyst,Statistical and data analysis software,,31066
ANZSCO 6,224412,,Policy Analyst,Graphics or photo imaging software,,31033
ANZSCO 6,224412,,Policy Analyst,Software development and programming languages,,31064
ANZSCO 6,224512,,Valuer,Scientific instruments,,31062
ANZSCO 6,224512,,Valuer,Statistical and data analysis software,,31066
ANZSCO 6,224611,,Librarian,Social media platforms,,31063
ANZSCO 6,224611,,Librarian,Web page creation and editing software,,31070
ANZSCO 6,224611,,Librarian,Project management software,,31056
ANZSCO 6,224611,,Librarian,Enterprise application integration software,,31024
ANZSCO 6,224611,,Librarian,Software development and programming languages,,31064
ANZSCO 6,224611,,Librarian,Library management systems,,31040
ANZSCO 6,224711,,Management Consultant,Business intelligence and decision support software,Trending,31010
ANZSCO 6,224711,,Management Consultant,Enterprise resource planning ERP software,,31025
ANZSCO 6,224711,,Management Consultant,Software development and programming languages,,31064
ANZSCO 6,224711,,Management Consultant,Project management software,,31056
ANZSCO 6,224711,,Management Consultant,Statistical and data analysis software,,31066
ANZSCO 6,224712,,Organisation and Methods Analyst,Business intelligence and decision support software,Trending,31010
ANZSCO 6,224712,,Organisation and Methods Analyst,Enterprise resource planning ERP software,,31025
ANZSCO 6,224712,,Organisation and Methods Analyst,Project management software,,31056
ANZSCO 6,224712,,Organisation and Methods Analyst,Software development and programming languages,,31064
ANZSCO 6,224712,,Organisation and Methods Analyst,Graphics or photo imaging software,,31033
ANZSCO 6,224712,,Organisation and Methods Analyst,Content workflow software,Trending,31013
ANZSCO 6,224712,,Organisation and Methods Analyst,Customer relationship management CRM software,Trending,31015
ANZSCO 6,224712,,Organisation and Methods Analyst,Data conversion software,Trending,31016
ANZSCO 6,224912,,Liaison Officer,Social media platforms,,31063
ANZSCO 6,224912,,Liaison Officer,Customer relationship management CRM software,,31015
ANZSCO 6,224912,,Liaison Officer,Project management software,,31056
ANZSCO 6,224912,,Liaison Officer,Graphics or photo imaging software,,31033
ANZSCO 6,225112,,Market Research Analyst,Social media platforms,Trending,31063
ANZSCO 6,225112,,Market Research Analyst,Graphics or photo imaging software,,31033
ANZSCO 6,225112,,Market Research Analyst,Business intelligence and decision support software,Trending,31010
ANZSCO 6,225112,,Market Research Analyst,Statistical and data analysis software,Trending,31066
ANZSCO 6,225112,,Market Research Analyst,Video creation and editing software,,31068
ANZSCO 6,225112,,Market Research Analyst,Customer relationship management CRM software,Trending,31015
ANZSCO 6,225112,,Market Research Analyst,Document management and code versioning software,,31020
ANZSCO 6,225112,,Market Research Analyst,Software development and programming languages,Trending,31064
ANZSCO 6,225112,,Market Research Analyst,Web page creation and editing software,Trending,31070
ANZSCO 6,225113,,Marketing Specialist,Social media platforms,Trending,31063
ANZSCO 6,225113,,Marketing Specialist,Graphics or photo imaging software,,31033
ANZSCO 6,225113,,Marketing Specialist,Customer relationship management CRM software,,31015
ANZSCO 6,225113,,Marketing Specialist,Statistical and data analysis software,Trending,31066
ANZSCO 6,225113,,Marketing Specialist,Enterprise resource planning ERP software,,31025
ANZSCO 6,225113,,Marketing Specialist,Audio/video conferencing software,Trending,31005
ANZSCO 6,225113,,Marketing Specialist,Document management and code versioning software,,31020
ANZSCO 6,225113,,Marketing Specialist,Web page creation and editing software,Trending,31070
ANZSCO 6,225114,,Content Creator (Marketing),Document management and code versioning software,,31020
ANZSCO 6,225114,,Content Creator (Marketing),Graphics or photo imaging software,,31033
ANZSCO 6,225114,,Content Creator (Marketing),Social media platforms,,31063
ANZSCO 6,225114,,Content Creator (Marketing),Statistical and data analysis software,,31066
ANZSCO 6,225114,,Content Creator (Marketing),Video creation and editing software,,31068
ANZSCO 6,225115,,Digital Marketing Analyst,Business intelligence and decision support software,,31010
ANZSCO 6,225115,,Digital Marketing Analyst,Customer relationship management CRM software,,31015
ANZSCO 6,225115,,Digital Marketing Analyst,Graphics or photo imaging software,,31033
ANZSCO 6,225115,,Digital Marketing Analyst,Statistical and data analysis software,,31066
ANZSCO 6,225311,,Public Relations Professional,Social media platforms,,31063
ANZSCO 6,225311,,Public Relations Professional,Graphics or photo imaging software,,31033
ANZSCO 6,225311,,Public Relations Professional,Project management software,,31056
ANZSCO 6,225311,,Public Relations Professional,Customer relationship management CRM software,,31015
ANZSCO 6,225311,,Public Relations Professional,Business intelligence and decision support software,,31010
ANZSCO 6,225311,,Public Relations Professional,Audio/video conferencing software,,31005
ANZSCO 6,225311,,Public Relations Professional,Document management and code versioning software,,31020
ANZSCO 6,225311,,Public Relations Professional,Statistical and data analysis software,,31066
ANZSCO 6,225311,,Public Relations Professional,Web page creation and editing software,,31070
ANZSCO 6,225411,,Sales Representative (Industrial Products),Accounting software,,31001
ANZSCO 6,225411,,Sales Representative (Industrial Products),Customer relationship management CRM software,,31015
ANZSCO 6,225412,,Sales Representative (Medical and Pharmaceutical Products),Accounting software,,31001
ANZSCO 6,225412,,Sales Representative (Medical and Pharmaceutical Products),Customer relationship management CRM software,,31015
ANZSCO 6,231111,,Aeroplane Pilot,"Air, space, or watercraft guidance systems",,31002
ANZSCO 6,231111,,Aeroplane Pilot,Aviation and marine communication systems,,31007
ANZSCO 6,231112,,Air Traffic Controller,"Air, space, or watercraft guidance systems",,31002
ANZSCO 6,231112,,Air Traffic Controller,Aviation and marine communication systems,,31007
ANZSCO 6,231113,,Flying Instructor,"Air, space, or watercraft guidance systems",,31002
ANZSCO 6,231113,,Flying Instructor,Aviation and marine communication systems,,31007
ANZSCO 6,231114,,Helicopter Pilot,"Air, space, or watercraft guidance systems",,31002
ANZSCO 6,231114,,Helicopter Pilot,Aviation and marine communication systems,,31007
ANZSCO 6,231213,,Ship's Master,GPS and navigation technologies,,31032
ANZSCO 6,231214,,Ship's Officer,Aviation and marine communication systems,,31007
ANZSCO 6,231214,,Ship's Officer,Facilities management software,,31027
ANZSCO 6,231214,,Ship's Officer,GPS and navigation technologies,,31032
ANZSCO 6,232111,,Architect,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232111,,Architect,Graphics or photo imaging software,,31033
ANZSCO 6,232111,,Architect,Project management software,,31056
ANZSCO 6,232111,,Architect,Business intelligence and decision support software,,31010
ANZSCO 6,232111,,Architect,Configuration management software,,31012
ANZSCO 6,232111,,Architect,Document management and code versioning software,Trending,31020
ANZSCO 6,232112,,Landscape Architect,Graphics or photo imaging software,,31033
ANZSCO 6,232112,,Landscape Architect,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232112,,Landscape Architect,Project management software,,31056
ANZSCO 6,232112,,Landscape Architect,Business intelligence and decision support software,,31010
ANZSCO 6,232212,,Surveyor,GPS and navigation technologies,,31032
ANZSCO 6,232212,,Surveyor,Mapping software,,31041
ANZSCO 6,232212,,Surveyor,Software development and programming languages,,31064
ANZSCO 6,232212,,Surveyor,Statistical and data analysis software,,31066
ANZSCO 6,232212,,Surveyor,Technical design and modelling software (2D and 3D),Trending,31067
ANZSCO 6,232213,,Cartographer,GPS and navigation technologies,,31032
ANZSCO 6,232213,,Cartographer,Graphics or photo imaging software,,31033
ANZSCO 6,232213,,Cartographer,Mapping software,,31041
ANZSCO 6,232213,,Cartographer,Software development and programming languages,,31064
ANZSCO 6,232213,,Cartographer,Statistical and data analysis software,,31066
ANZSCO 6,232213,,Cartographer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232214,,Other Spatial Scientist,Enterprise resource planning ERP software,,31025
ANZSCO 6,232214,,Other Spatial Scientist,Geographic information systems (GIS),,31031
ANZSCO 6,232214,,Other Spatial Scientist,GPS and navigation technologies,,31032
ANZSCO 6,232214,,Other Spatial Scientist,Mapping software,,31041
ANZSCO 6,232214,,Other Spatial Scientist,Software development and programming languages,,31064
ANZSCO 6,232214,,Other Spatial Scientist,Statistical and data analysis software,,31066
ANZSCO 6,232214,,Other Spatial Scientist,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232311,,Fashion Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232311,,Fashion Designer,Document management and code versioning software,,31020
ANZSCO 6,232312,,Industrial Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232312,,Industrial Designer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232312,,Industrial Designer,Statistical and data analysis software,,31066
ANZSCO 6,232312,,Industrial Designer,Video creation and editing software,,31068
ANZSCO 6,232312,,Industrial Designer,Software development and programming languages,,31064
ANZSCO 6,232312,,Industrial Designer,Enterprise resource planning ERP software,,31025
ANZSCO 6,232312,,Industrial Designer,Accounting software,Emerging,31001
ANZSCO 6,232312,,Industrial Designer,Business intelligence and decision support software,,31010
ANZSCO 6,232312,,Industrial Designer,Content workflow software,Emerging,31013
ANZSCO 6,232312,,Industrial Designer,Social media platforms,Emerging,31063
ANZSCO 6,232411,,Graphic Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232411,,Graphic Designer,Social media platforms,Trending,31063
ANZSCO 6,232411,,Graphic Designer,Video creation and editing software,,31068
ANZSCO 6,232411,,Graphic Designer,Software development and programming languages,,31064
ANZSCO 6,232411,,Graphic Designer,Audio/video conferencing software,Trending,31005
ANZSCO 6,232411,,Graphic Designer,Statistical and data analysis software,,31066
ANZSCO 6,232412,,Illustrator,Graphics or photo imaging software,,31033
ANZSCO 6,232412,,Illustrator,Video creation and editing software,,31068
ANZSCO 6,232412,,Illustrator,Social media platforms,,31063
ANZSCO 6,232412,,Illustrator,Software development and programming languages,,31064
ANZSCO 6,232412,,Illustrator,Accounting software,,31001
ANZSCO 6,232413,,Multimedia Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232413,,Multimedia Designer,Video creation and editing software,,31068
ANZSCO 6,232413,,Multimedia Designer,Social media platforms,Emerging,31063
ANZSCO 6,232413,,Multimedia Designer,Software development and programming languages,,31064
ANZSCO 6,232413,,Multimedia Designer,Document management and code versioning software,Emerging,31020
ANZSCO 6,232414,,Web Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232414,,Web Designer,Social media platforms,,31063
ANZSCO 6,232414,,Web Designer,Web page creation and editing software,Emerging,31070
ANZSCO 6,232414,,Web Designer,Software development and programming languages,,31064
ANZSCO 6,232414,,Web Designer,Business intelligence and decision support software,,31010
ANZSCO 6,232414,,Web Designer,Project management software,,31056
ANZSCO 6,232414,,Web Designer,Video creation and editing software,,31068
ANZSCO 6,232414,,Web Designer,Database management software,,31017
ANZSCO 6,232414,,Web Designer,Content workflow software,Emerging,31013
ANZSCO 6,232414,,Web Designer,Customer relationship management CRM software,Emerging,31015
ANZSCO 6,232414,,Web Designer,Statistical and data analysis software,,31066
ANZSCO 6,232511,,Interior Designer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232511,,Interior Designer,Graphics or photo imaging software,,31033
ANZSCO 6,232511,,Interior Designer,Video creation and editing software,,31068
ANZSCO 6,232511,,Interior Designer,Document management and code versioning software,,31020
ANZSCO 6,232611,,Urban and Regional Planner,Graphics or photo imaging software,,31033
ANZSCO 6,232611,,Urban and Regional Planner,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,232611,,Urban and Regional Planner,Project management software,,31056
ANZSCO 6,232611,,Urban and Regional Planner,Enterprise resource planning ERP software,,31025
ANZSCO 6,232611,,Urban and Regional Planner,Mapping software,,31041
ANZSCO 6,232611,,Urban and Regional Planner,Geographic information systems (GIS),,31031
ANZSCO 6,233111,,Chemical Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233111,,Chemical Engineer,Industrial control and automation software,,31036
ANZSCO 6,233111,,Chemical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233111,,Chemical Engineer,Project management software,,31056
ANZSCO 6,233111,,Chemical Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233111,,Chemical Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233112,,Materials Engineer,Software development and programming languages,,31064
ANZSCO 6,233112,,Materials Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233112,,Materials Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233112,,Materials Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233112,,Materials Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233211,,Civil Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233211,,Civil Engineer,Project management software,,31056
ANZSCO 6,233211,,Civil Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233211,,Civil Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233211,,Civil Engineer,Mapping software,,31041
ANZSCO 6,233211,,Civil Engineer,Geographic information systems (GIS),,31031
ANZSCO 6,233212,,Geotechnical Engineer,Statistical and data analysis software,Emerging,31066
ANZSCO 6,233212,,Geotechnical Engineer,Technical design and modelling software (2D and 3D),Emerging,31067
ANZSCO 6,233212,,Geotechnical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233212,,Geotechnical Engineer,File storage technologies,,31028
ANZSCO 6,233212,,Geotechnical Engineer,GPS and navigation technologies,,31032
ANZSCO 6,233212,,Geotechnical Engineer,Graphics or photo imaging software,Emerging,31033
ANZSCO 6,233212,,Geotechnical Engineer,Project management software,,31056
ANZSCO 6,233213,,Quantity Surveyor,Project management software,,31056
ANZSCO 6,233213,,Quantity Surveyor,Business intelligence and decision support software,,31010
ANZSCO 6,233213,,Quantity Surveyor,Cost modelling software,,31014
ANZSCO 6,233213,,Quantity Surveyor,Document management and code versioning software,,31020
ANZSCO 6,233213,,Quantity Surveyor,Quantitative schedule and risk analysis software,,31057
ANZSCO 6,233214,,Structural Engineer,Technical design and modelling software (2D and 3D),Emerging,31067
ANZSCO 6,233214,,Structural Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233214,,Structural Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233214,,Structural Engineer,Project management software,,31056
ANZSCO 6,233214,,Structural Engineer,Software development and programming languages,,31064
ANZSCO 6,233214,,Structural Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233214,,Structural Engineer,Graphics or photo imaging software,Trending,31033
ANZSCO 6,233215,,Transport Engineer,Technical design and modelling software (2D and 3D),Trending,31067
ANZSCO 6,233215,,Transport Engineer,Mapping software,,31041
ANZSCO 6,233215,,Transport Engineer,Project management software,,31056
ANZSCO 6,233215,,Transport Engineer,Geographic information systems (GIS),,31031
ANZSCO 6,233311,,Electrical Engineer,Technical design and modelling software (2D and 3D),Emerging,31067
ANZSCO 6,233311,,Electrical Engineer,Industrial control and automation software,,31036
ANZSCO 6,233311,,Electrical Engineer,Enterprise resource planning ERP software,Trending,31025
ANZSCO 6,233311,,Electrical Engineer,Project management software,,31056
ANZSCO 6,233311,,Electrical Engineer,Software development and programming languages,,31064
ANZSCO 6,233311,,Electrical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233311,,Electrical Engineer,Statistical and data analysis software,Emerging,31066
ANZSCO 6,233411,,Electronics Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233411,,Electronics Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233411,,Electronics Engineer,Software development and programming languages,,31064
ANZSCO 6,233411,,Electronics Engineer,Enterprise application integration software,,31024
ANZSCO 6,233411,,Electronics Engineer,Application and load testing software,,31003
ANZSCO 6,233411,,Electronics Engineer,Graphics or photo imaging software,,31033
ANZSCO 6,233411,,Electronics Engineer,Industrial control and automation software,,31036
ANZSCO 6,233511,,Industrial Engineer,Software development and programming languages,,31064
ANZSCO 6,233511,,Industrial Engineer,Technical design and modelling software (2D and 3D),Trending,31067
ANZSCO 6,233511,,Industrial Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233511,,Industrial Engineer,Industrial control and automation software,,31036
ANZSCO 6,233511,,Industrial Engineer,Business intelligence and decision support software,Emerging,31010
ANZSCO 6,233511,,Industrial Engineer,Project management software,,31056
ANZSCO 6,233512,,Mechanical Engineer,Technical design and modelling software (2D and 3D),Trending,31067
ANZSCO 6,233512,,Mechanical Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233512,,Mechanical Engineer,Industrial control and automation software,,31036
ANZSCO 6,233512,,Mechanical Engineer,Software development and programming languages,,31064
ANZSCO 6,233512,,Mechanical Engineer,Project management software,,31056
ANZSCO 6,233512,,Mechanical Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233512,,Mechanical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233513,,Production or Plant Engineer,Software development and programming languages,,31064
ANZSCO 6,233513,,Production or Plant Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233513,,Production or Plant Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233513,,Production or Plant Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233513,,Production or Plant Engineer,Industrial control and automation software,,31036
ANZSCO 6,233513,,Production or Plant Engineer,Database management software,,31017
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Geographic information systems (GIS),,31031
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Project management software,,31056
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Business intelligence and decision support software,,31010
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),File storage technologies,,31028
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),GPS and navigation technologies,,31032
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Graphics or photo imaging software,Trending,31033
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Software development and programming languages,Emerging,31064
ANZSCO 6,233611,,Mining Engineer (excluding Petroleum),Statistical and data analysis software,,31066
ANZSCO 6,233612,,Petroleum Engineer,Enterprise resource planning ERP software,,31025
ANZSCO 6,233612,,Petroleum Engineer,Project management software,,31056
ANZSCO 6,233612,,Petroleum Engineer,Geographic information systems (GIS),,31031
ANZSCO 6,233612,,Petroleum Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233612,,Petroleum Engineer,Graphics or photo imaging software,,31033
ANZSCO 6,233911,,Aeronautical Engineer,Computer aided manufacturing (CAM),,31011
ANZSCO 6,233911,,Aeronautical Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233911,,Aeronautical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233911,,Aeronautical Engineer,Configuration management software,,31012
ANZSCO 6,233911,,Aeronautical Engineer,Project management software,Emerging,31056
ANZSCO 6,233911,,Aeronautical Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233913,,Biomedical Engineer,Software development and programming languages,,31064
ANZSCO 6,233913,,Biomedical Engineer,Computer aided manufacturing (CAM),,31011
ANZSCO 6,233913,,Biomedical Engineer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233913,,Biomedical Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233913,,Biomedical Engineer,Configuration management software,,31012
ANZSCO 6,233913,,Biomedical Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233914,,Engineering Technologist,Enterprise resource planning ERP software,,31025
ANZSCO 6,233914,,Engineering Technologist,Computer aided manufacturing (CAM),,31011
ANZSCO 6,233914,,Engineering Technologist,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233914,,Engineering Technologist,Project management software,,31056
ANZSCO 6,233914,,Engineering Technologist,Statistical and data analysis software,,31066
ANZSCO 6,233914,,Engineering Technologist,Software development and programming languages,,31064
ANZSCO 6,233915,,Environmental Engineer,Technical design and modelling software (2D and 3D),Emerging,31067
ANZSCO 6,233915,,Environmental Engineer,Mapping software,,31041
ANZSCO 6,233915,,Environmental Engineer,Software development and programming languages,,31064
ANZSCO 6,233915,,Environmental Engineer,Project management software,,31056
ANZSCO 6,233915,,Environmental Engineer,Business intelligence and decision support software,,31010
ANZSCO 6,233915,,Environmental Engineer,Geographic information systems (GIS),Trending,31031
ANZSCO 6,233915,,Environmental Engineer,Statistical and data analysis software,,31066
ANZSCO 6,233916,,Naval Architect / Marine Designer,Technical design and modelling software (2D and 3D),,31067
ANZSCO 6,233916,,Naval Architect / Marine Designer,Business intelligence and decision support software,,31010
ANZSCO 6,233916,,Naval Architect / Marine Designer,Project management software,,31056
ANZSCO 6,234211,,Chemist,Enterprise resource planning ERP software,,31025
ANZSCO 6,234211,,Chemist,Business intelligence and decision support software,,31010
ANZSCO 6,234211,,Chemist,Enterprise application integration software,,31024
ANZSCO 6,234211,,Chemist,Graphics or photo imaging software,,31033
ANZSCO 6,234211,,Chemist,Software development and programming languages,,31064
ANZSCO 6,234211,,Chemist,Statistical and data analysis software,,31066
ANZSCO 6,234212,,Food Technologist,Enterprise resource planning ERP software,,31025
