Major Group,Sub-Major Group,Minor Group,Unit Group,Unit Group Description,Skill Level(s),
7,72,721,7211,"Agricultural, Forestry and Horticultural Plant Operators","3,4",
7,72,721,7212,Earthmoving Plant Operators,4,
7,72,721,7213,Forklift Drivers,4,
7,72,721,7219,Other Mobile Plant Operators,"3,4",
7,73,731,7311,Automobile Drivers,4,
7,73,731,7312,Bus and Coach Drivers,4,
7,73,731,7313,Train and Tram Drivers,"3,4",
7,73,732,7321,Delivery Drivers,4,
7,73,733,7331,Truck Drivers,4,
7,74,741,7411,Storepersons,4,
8,81,811,8111,Car Detailers,5,
8,81,811,8112,Commercial Cleaners,"5 Aus,4 NZ",
8,81,811,8113,Domestic Cleaners,5,
8,81,811,8114,Housekeepers,5,
8,81,811,8115,Laundry Workers,5,
8,81,811,8116,Other Cleaners,"4,5",
8,82,821,8211,Building and Plumbing Labourers,5,
8,82,821,8212,Concreters,5,
8,82,821,8213,Fencers,4,
8,82,821,8214,Insulation and Home Improvement Installers,4,
8,82,821,8215,Paving and Surfacing Labourers,"5 Aus,4 NZ",
8,82,821,8216,Railway Track Workers,4,
8,82,821,8217,Structural Steel Construction Workers,"3,4",
8,82,821,8219,Other Construction and Mining Labourers,"4,5",
8,83,831,8311,Food and Drink Factory Workers,"4,5",
8,83,831,8312,"Meat Boners and Slicers, and Slaughterers",4,
8,83,831,8313,"Meat, Poultry and Seafood Process Workers",5,
8,83,832,8321,Packers,5,
8,83,832,8322,Product Assemblers,5,
8,83,839,8391,Metal Engineering Process Workers,5,
8,83,839,8392,Plastics and Rubber Factory Workers,"5 Aus,4 NZ",
8,83,839,8393,Product Quality Controllers,4,
8,83,839,8394,Timber and Wood Process Workers,"5 Aus,4 NZ",
8,83,839,8399,Other Factory Process Workers,"5 Aus,4 NZ",
8,84,841,8411,Aquaculture Workers,5,
8,84,841,8412,Crop Farm Workers,5,
8,84,841,8413,Forestry and Logging Workers,4,
8,84,841,8414,Garden and Nursery Labourers,5,
8,84,841,8415,Livestock Farm Workers,5,
8,84,841,8416,Mixed Crop and Livestock Farm Workers,5,
8,84,841,8419,"Other Farm, Forestry and Garden Workers","4,5",
8,85,851,8511,Fast Food Cooks,5,
8,85,851,8512,Food Trades Assistants,5,
8,85,851,8513,Kitchenhands,5,
8,89,891,8911,Freight and Furniture Handlers,5,
8,89,891,8912,Shelf Fillers,5,
8,89,899,8991,Caretakers,5,
8,89,899,8992,Deck and Fishing Hands,4,
8,89,899,8993,Handypersons,5,
8,89,899,8994,Motor Vehicle Parts and Accessories Fitters,4,
8,89,899,8995,Printing Assistants and Table Workers,4,
8,89,899,8996,Recycling and Rubbish Collectors,5,
8,89,899,8997,Vending Machine Attendants,5,
8,89,899,8999,Other Miscellaneous Labourers,5,
