Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 4,3242,,Vehicle Body Builders and Trimmers,"Vehicle Body Builders and Trimmers manufacture and repair prototype production units and purpose-built vehicle bodies, and install, repair and replace the interior trim of vehicles."
ANZSCO 4,3243,,Vehicle Painters,"Vehicle Painters prepare surfaces of vehicles, match and mix colours and apply paint."
ANZSCO 4,3321,,Floor Finishers,"Floor Finishers measure, cut, install and repair soft and resilient floor coverings."
ANZSCO 4,3322,,Painting Trades Workers,"Painting Trades Workers apply paint, varnish, wallpaper and other finishes to protect, maintain and decorate surfaces of buildings and structures."
ANZSCO 4,3331,,Glaziers,"Glaziers measure, cut, finish, fit and install flat glass and mirrors."
ANZSCO 4,3333,,Roof Tilers,"Roof Tilers cover roofs with tiles, sheets and shingles to form a waterproof surface."
ANZSCO 4,3334,,Wall and Floor Tilers,"Wall and Floor Tilers lay ceramic, clay, slate, marble and glass tiles on external and internal walls and floors to provide protective and decorative finishes."
ANZSCO 4,3411,,Electricians,"Electricians design, assemble, install, test, commission, diagnose, maintain and repair electrical networks, systems, circuits, equipment, components, appliances and facilities for industrial, commercial and domestic purposes, and service and repair lifts, escalators and related equipment."
ANZSCO 4,3421,,Airconditioning and Refrigeration Mechanics,"Airconditioning and Refrigeration Mechanics assemble, install, maintain and repair industrial, commercial and domestic airconditioning and refrigeration systems and equipment."
ANZSCO 4,3422,,Electrical Distribution Trades Workers,"Electrical Distribution Trades Workers prepare, install, repair, maintain and patrol electric power distribution networks."
ANZSCO 4,3424,,Telecommunications Trades Workers,"Telecommunications Trades Workers install, maintain and repair data transmission equipment, aerial lines, conduits, cables, radio antennae and telecommunications equipment and appliances."
ANZSCO 4,3511,,Bakers and Pastrycooks,"Bakers and Pastrycooks prepare and bake bread loaves and rolls, buns, cakes, biscuits and pastry goods."
ANZSCO 4,3512,,Butchers and Smallgoods Makers,"Butchers and Smallgoods Makers select, cut, trim, prepare and arrange meat for sale and supply, operate meat and smallgoods processing machines, and manage the processes in the production of smallgoods."
ANZSCO 4,3513,,Chefs,Chefs plan and organise the preparation and cooking of food in dining and catering establishments.
ANZSCO 4,3514,,Cooks,"Cooks prepare, season and cook food in dining and catering establishments."
ANZSCO 4,3611,,Animal Attendants and Trainers,"Animal Attendants and Trainers train, exercise, feed, groom, and care for animals."
ANZSCO 4,3613,,Veterinary Nurses,Veterinary Nurses care for animals under treatment and in temporary residence at veterinary facilities and assist Veterinarians to perform procedures and operations.
ANZSCO 4,3621,,Florists,Florists prepare and sell floral arrangements.
ANZSCO 4,3624,,Nurserypersons,"Nurserypersons propagate and cultivate trees, shrubs, and ornamental and flowering plants in a plant or forestry nursery."
ANZSCO 4,3626,,Gardeners (General),"Gardeners (General) plant, cultivate and maintain parks and gardens."
ANZSCO 4,3627,,Landscape Gardeners and Irrigation Technicians,"Landscape Gardeners and Irrigation Technicians plan and construct garden landscapes, and install irrigation systems."
ANZSCO 4,3633,,Shearers and Wool Classers,"Shearers and Wool Classers remove and classify wool and hair from sheep, goats, alpacas and other animals."
ANZSCO 4,3911,,Hairdressers,"Hairdressers cut, style, colour, straighten and permanently wave hair, and treat hair and scalp conditions."
ANZSCO 4,3922,,Graphic Pre-press Trades Workers,"Graphic Pre-press Trades Workers manipulate, set and compose text and graphics into a format suitable for printing and other visual media."
ANZSCO 4,3923,,Printers,"Printers set up and operate letterpress, lithographic, flexographic, gravure, newspaper, instant, digital and offset printing presses."
ANZSCO 4,3933,,Upholsterers,"Upholsterers make, rebuild and repair upholstered articles such as chairs, sofas, beds and mattresses."
ANZSCO 4,3941,,Cabinetmakers,"Cabinetmakers fabricate and repair wooden furniture, and fit and assemble prepared wooden parts to make furniture."
ANZSCO 4,3991,,Boat Builders and Shipwrights,"Boat Builders and Shipwrights construct, fit out and repair boats and ships."
ANZSCO 4,3994,,Jewellers,"Jewellers make and repair jewellery such as rings, brooches, chains and bracelets, craft objects out of precious metals, and cut, shape and polish rough gemstones to produce fashion and industrial jewels."
ANZSCO 4,3996,,Signwriters,"Signwriters design, fabricate and paint signs for displays, buildings, hoardings, boats and structures."
ANZSCO 4,3999,,Other Miscellaneous Technicians and Trades Workers,"This unit group covers Technicians and Trades Workers not elsewhere classified. It includes Divers, Interior Decorators, Optical Dispensers / Dispensing Opticians, Optical Mechanics, Photographer's Assistants, Plastics Technicians and Fire Protection Equipment Technicians."
ANZSCO 4,4111,,Ambulance Officers and Paramedics,"Ambulance Officers and Paramedics provide emergency health care and transport for injured, sick, infirm and aged persons to medical facilities."
ANZSCO 4,4113,,Diversional Therapists,"Diversional Therapists plan, design, coordinate and implement recreation and leisure-based activity programs to support, challenge and enhance the psychological, spiritual, social, emotional and physical wellbeing of individuals."
ANZSCO 4,4114,,Enrolled and Mothercraft Nurses,"Enrolled and Mothercraft Nurses provide nursing care to patients in hospitals, aged care and other health care facilities and in the community, and assist parents in providing care to newborn infants under the supervision of a Registered Nurse or Midwife."
ANZSCO 4,4115,,Indigenous Health Workers,Indigenous Health Workers assist with the coordination and provision of health care delivery to Indigenous communities. Note data does not include 411512 Kaiāwhina (Hauora) (Māori Health Assistant).
ANZSCO 4,4116,,Massage Therapists,"Massage Therapists perform therapeutic massage and administer body treatments for health, fitness and remedial purposes."
ANZSCO 4,4117,,Welfare Support Workers,"Welfare Support Workers provide support, information and advice to clients on emotional, financial, recreational, health, housing and other social welfare matters, and evaluate and coordinate the services of welfare and community service agencies."
ANZSCO 4,4221,,Education Aides,"Education Aides perform non-teaching duties to assist teaching staff in schools, provide care and supervision for children in preschools, and provide assistance to Aboriginal and Torres Strait Islander students and their teachers."
ANZSCO 4,4231,,Aged and Disabled Carers,"Aged and Disabled Carers provide general household assistance, emotional support, care and companionship for aged and disabled persons in their own homes."
ANZSCO 4,4232,,Dental Assistants,"Dental Assistants prepare patients for dental examination and assist Dental Practitioners, Hygienists and Therapists in providing care and treatment."
ANZSCO 4,4233,,Nursing Support and Personal Care Workers,"Nursing Support and Personal Care Workers provide assistance, support and direct care to patients in a variety of health, welfare and community settings."
ANZSCO 4,4234,,Special Care Workers,"Special Care Workers provide care and supervision for children and young people in residential and institutional facilities, and provide care and support to people in refuges."
ANZSCO 4,4311,,Bar Attendants and Baristas,"Bar Attendants and Baristas prepare, mix and serve alcoholic and non-alcoholic drinks to patrons in bars in licensed establishments, and prepare and serve espresso coffee and other hot beverages to patrons in cafes, coffee shops and dining establishments."
ANZSCO 4,4312,,Cafe Workers,Cafe Workers sell and serve food and beverages for consumption on premises in cafes and similar establishments.
ANZSCO 4,4313,,Gaming Workers,Gaming Workers provide gaming services within casinos and other gambling establishments.
ANZSCO 4,4314,,Hotel Service Managers,Hotel Service Managers supervise and coordinate the activities of hotel service workers.
ANZSCO 4,4315,,Waiters,"Waiters serve food and beverages in hotels, restaurants, clubs and dining establishments."
ANZSCO 4,4421,,Prison Officers,Prison Officers supervise and control the activities of inmates in prisons and other correctional institutions.
ANZSCO 4,4511,,Beauty Therapists,"Beauty Therapists provide skin analyses, facial therapies, skin-care treatments and body treatments such as massage to clients."
ANZSCO 4,4512,,Driving Instructors,Driving Instructors instruct individuals and groups in the theory and application of driving motor vehicles.
ANZSCO 4,4513,,Funeral Workers,"Funeral Workers prepare bodies for viewing and burial, arrange and conduct funerals, and perform other specialist funereal services."
ANZSCO 4,4514,,"Gallery, Museum and Tour Guides","Gallery, Museum and Tour Guides direct and guide visitors in galleries and museums, and escort visitors on sightseeing, educational and other tours."
