Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
ANZSCO 6,711611,,Sewing Machinist,Operates industrial sewing machines to sew and finish garments and soft furnishings such as curtains.
ANZSCO 6,711711,,Footwear Production Machine Operator,Operates machines to manufacture ready-to-wear footwear.
ANZSCO 6,711712,,Hide and Skin Processing Machine Operator,"Operates machines to convert raw hides and skins into finished leather for use in clothing, footwear and upholstery."
ANZSCO 6,711713,,Knitting Machine Operator,"Operates machines to knit fabrics, garment parts and other articles from yarns such as cotton, wool, nylon and rayon."
ANZSCO 6,711714,,Textile Dyeing and Finishing Machine Operator,"Operates machines to bleach, dye and finish knitted garments such as hosiery and woollen garments."
ANZSCO 6,711715,,Weaving Machine Operator,"Operates looms to weave yarn into cloth, carpet and other fabrics."
ANZSCO 6,711716,,Yarn Carding and Spinning Machine Operator,"Operates machines to convert raw textile fibres into continuous untwisted and twisted strands of yarn for use in clothing, carpets, curtains and other fabrics."
ANZSCO 6,711912,,Motion Picture Projectionist,Operates film projection and related sound reproduction equipment.
ANZSCO 6,711914,,Sterilisation Technician,"Cleans, sterilises and packages surgical instruments and other hospital equipment, soft goods and linen in a sterilisation service facility."
ANZSCO 6,712111,,"Crane, Hoist or Lift Operator","Operates stationary and mobile cranes, hoists, lifts and winches to lift, move and place materials, equipment and people in areas such as building sites, factories, mines, sawmills, wharves and shipyards. Registration or licensing may be required."
ANZSCO 6,712211,,Driller,"Assembles, positions and operates a drilling rig and related equipment to extract ore, liquids or gases from the earth. Registration or licensing may be required."
ANZSCO 6,712212,,Miner,"Operates plant to excavate, load and transport coal, ore and rock in an underground or open-cut mine. Registration or licensing may be required."
ANZSCO 6,712213,,Shot Firer,"Assembles, positions and detonates explosives at a mining or demolition site. Registration or licensing may be required."
ANZSCO 6,712311,,Engineering Production Worker,"Performs a range of production process tasks to refine and treat metals and mineral ore, fire ceramics, and operate plant to produce and finish metal products such as rods, tubing and structural shapes, and moulds for casting. Registration or licensing is required."
ANZSCO 6,712911,,Boiler or Engine Operator,"Operates and maintains stationary engines, boilers, refrigeration and airconditioning systems, and associated mechanical plant. Registration or licensing is required."
ANZSCO 6,712912,,Bulk Materials Handling Plant Operator,"Operates plant and equipment to load, unload, move, store and stack bulk materials such as grain, sugar and mineral ore."
ANZSCO 6,712915,,Concrete Pump Operator,"Operates plant to pump, cast and mould concrete. Registration or licensing is required."
ANZSCO 6,712917,,Railway Signal Operator,"Controls the movement of trains, and assembles and disassembles trains within a marshalling yard."
ANZSCO 6,712921,,Waste Water or Water Plant Operator,"Operates plant to store, distribute and treat water including purifying water for human consumption and removing wastes from sewage."
ANZSCO 6,712922,,Weighbridge Operator,Operates weighing plant and issues measurement tickets which provide readings of vehicle and livestock weight.
ANZSCO 6,721111,,Agricultural and Horticultural Mobile Plant Operator,"Operates agricultural and horticultural plant to clear and cultivate land, and sow, fertilise, spray and harvest crops. Registration or licensing may be required."
ANZSCO 6,721211,,Earthmoving Plant Operator (General),"Operates a range of earthmoving plant to assist with building roads, rail, water supply, dams, treatment plants and agricultural earthworks. Registration or licensing is required."
ANZSCO 6,721212,,Backhoe Operator,"Operates a backhoe and attachments to excavate, break, drill, level and compact earth, rock and other material. Registration or licensing is required."
ANZSCO 6,721213,,Bulldozer Operator,"Operates a bulldozer using blades and other attachments to gouge out, level and move materials in construction, forestry, mining and other projects. Registration or licensing is required."
ANZSCO 6,721214,,Excavator Operator,"Operates heavy excavation plant to excavate, move and load earth, rock and rubble. Registration or licensing is required."
ANZSCO 6,721215,,Grader Operator,Operates a grader to spread and level materials in construction projects. Registration or licensing is required.
ANZSCO 6,721216,,Loader Operator,"Operates a motorised loader to move and load soil, rock and other material. Registration or licensing is required."
ANZSCO 6,721311,,Forklift Driver,"Operates a forklift to move bulk materials, containers, crates, palletised goods, cartons and bales. Registration or licensing may be required."
ANZSCO 6,721911,,Aircraft Baggage Handler and Airline Ground Crew,"Loads and unloads baggage, directs planes, positions staircases, fills aircraft fuel tanks and performs other aircraft ground services to ensure aircraft operations run efficiently. Registration or licensing is required."
ANZSCO 6,721912,,Linemarker,"Operates plant to apply markings to roads and other surfaces such as car parks, airports and sportsgrounds. Registration or licensing is required."
ANZSCO 6,721913,,Paving Plant Operator,"Operates plant to spread and level hot bituminous paving materials and lay concrete on areas such as highways, roads and car parks. Registration or licensing is required."
ANZSCO 6,721914,,Railway Track Plant Operator,"Operates plant to lay, align, repair and maintain railway tracks. Registration or licensing may be required."
ANZSCO 6,721915,,Road Roller Operator,"Operates a power-driven roller to prepare surfaces for roads, runways and car parks. Registration or licensing is required."
ANZSCO 6,721916,,Streetsweeper Operator,Operates plant to clean streets and gutters of litter and debris. Registration or licensing is required.
ANZSCO 6,731311,,Train Driver,Drives a train to transport passengers and freight on railways. Registration or licensing is required.
ANZSCO 6,732111,,Delivery Driver,Drives a van or car to deliver goods. Registration or licensing is required.
ANZSCO 6,733111,,Truck Driver (General),"Drives a heavy truck, requiring a specially endorsed class of licence, to transport bulky goods."
ANZSCO 6,733112,,Aircraft Refueller,"Drives a tanker truck filled with aviation fuel to waiting aircraft, attaches a fuel hose to aircraft fuel tank and fills it with fuel."
ANZSCO 6,733113,,Furniture Removalist,Drives a removal van or truck to move household and office furniture and equipment between locations.
ANZSCO 6,733114,,Tanker Driver,"Drives a tanker truck, requiring a specially endorsed class of licence, to transport bulk liquids."
ANZSCO 6,733115,,Tow Truck Driver,"Drives a tow truck, requiring a specially endorsed class of licence, to transport broken-down motor vehicles."
ANZSCO 6,741111,,Storeperson,"Receives, handles and despatches goods in a store or warehouse."
ANZSCO 6,811111,,Car Detailer,"Washes and cleans exteriors and interiors of motor vehicles, and touches up paint work, glass and upholstery to prepare them for sale or rent."
ANZSCO 6,811211,,Commercial Cleaner,"Cleans offices, residential complexes, hospitals, schools, industrial work areas, industrial machines, construction sites and other commercial premises using heavy duty cleaning equipment."
ANZSCO 6,811311,,Domestic Cleaner,"Cleans and tidies private dwellings such as houses, units, flats, apartments and townhouses."
ANZSCO 6,811411,,Commercial Housekeeper,"Cleans, vacuums and mops floors, makes beds, and restocks mini bars and bathroom supplies in hotel and motel rooms and other commercial premises."
ANZSCO 6,811412,,Domestic Housekeeper,"Cleans, cooks and performs other housekeeping tasks in private residences."
ANZSCO 6,811511,,Laundry Worker (General),"Sorts, cleans, irons, folds and packages linen, clothing and other garments in a commercial laundry."
ANZSCO 6,811512,,Drycleaner,"Cleans clothing, garments, upholstery and other fabrics using drycleaning agents and machines."
ANZSCO 6,811513,,Ironer or Presser,"Irons or presses garments and other fabrics, such as delicate and formal wear, in a commercial laundry or private residence."
ANZSCO 6,811611,,Carpet Cleaner,"Cleans carpets, rugs and furniture upholstery using powder, liquid and steam cleaning methods, and applies soil-repellent chemicals and deodorants."
ANZSCO 6,811612,,Window Cleaner,Cleans interior and exterior window surfaces.
ANZSCO 6,821111,,Builder's Labourer,Performs routine tasks in erecting and repairing structures and facilities on building and construction sites and in factories producing prefabricated building components.
ANZSCO 6,821112,,"Drainage, Sewerage and Stormwater Labourer","Performs routine tasks in maintaining drainage, sewerage and stormwater systems."
ANZSCO 6,821113,,Earthmoving Labourer,"Performs routine tasks in excavating earth, clearing and levelling sites, and digging irrigation channels."
ANZSCO 6,821114,,Plumber's Assistant,"Performs routine tasks in fabricating, laying, installing and maintaining pipes, fixtures, water meters and regulators."
ANZSCO 6,821211,,Concreter,"Pours, spreads, smooths and finishes concrete for structures such as floors, stairs, ramps, footpaths and bridges."
ANZSCO 6,821311,,Fencer,Erects and repairs fences and gates.
ANZSCO 6,821411,,Building Insulation Installer,"Installs and applies insulating material, such as foam, granules, foil, solar film, batts and blankets, to walls, floors, windows and ceilings of buildings to insulate against heat, cold, air, sound and moisture. Registration or licensing may be required."
ANZSCO 6,821412,,Home Improvement Installer,"Installs functional and decorative home improvements such as awnings, curtains, blinds, security screens, garage doors, exterior cladding, shower screens and prefabricated windows and doors. Registration or licensing may be required."
ANZSCO 6,821511,,Paving and Surfacing Labourer,"Performs routine tasks associated in laying bituminous and other paving materials on roads, runways, parking areas and other surfaces to be paved."
ANZSCO 6,821611,,Railway Track Worker,"Lays and repairs tracks for railways, tramways, quarries and mines, and installs and repairs signals and other equipment."
ANZSCO 6,821711,,Construction Rigger,"Assembles and installs rigging gear, such as cables, ropes, pulleys and winches, to lift, lower, move and position equipment, structural steel and other heavy objects. Registration or licensing may be required."
ANZSCO 6,821712,,Scaffolder,"Erects and dismantles scaffolding to provide work platforms on building and industrial sites, and for temporary structures such as staging and seating. Registration or licensing may be required."
ANZSCO 6,821713,,Steel Fixer,Positions and secures steel bars and steel mesh in concrete forms to reinforce concrete structures. Registration or licensing may be required.
ANZSCO 6,821714,,Structural Steel Erector,Erects and dismantles structural steel frames of buildings and other structures. Registration or licensing may be required.
ANZSCO 6,821911,,Crane Chaser,"Slings cranes and winches, and directs the movement of loads ensuring loads do not exceed lifting capacities."
ANZSCO 6,821912,,Driller's Assistant,"Performs routine tasks in setting up, operating and dismantling drilling sites for extracting oil, gas, mineral ore or water."
ANZSCO 6,821913,,Lagger,"Applies insulating materials, such as felt, fibreglass, polyurethane and cork, to pipes, steam generators, process vats and ducting, and secures insulation with wire, wire netting, staples, metal strapping and using welding torches."
ANZSCO 6,821914,,Mining Support Worker,"Performs routine tasks in mining and mineral ore treating operations such as assembling, operating and dismantling mining equipment, taking ore, rock and dust samples, and mixing ore treating chemicals and catalysts."
ANZSCO 6,831111,,Baking Factory Worker,"Operates machines and performs routine tasks to make bread, cakes and other baked products, and slices and wraps products."
ANZSCO 6,831112,,Brewery Worker,"Operates machines and performs routine tasks to make beer, and package, store and despatch beer in bottles, cans and kegs."
ANZSCO 6,831113,,Confectionery Maker,Operates machines and performs routine tasks to make and wrap confectionery.
ANZSCO 6,831114,,Dairy Products Maker,"Operates machines and performs routine tasks to make and package milk, milk powder, yoghurt, butter, cheese and other dairy products."
ANZSCO 6,831115,,Fruit and Vegetable Factory Worker,"Operates machines and performs routine tasks to prepare canned and frozen fruit and vegetables, and make and package sauces, jams and juices."
ANZSCO 6,831116,,Grain Mill Worker,"Operates machines and performs routine tasks to mix, mill and treat grains and by-products to make flour, meal and stockfeed."
ANZSCO 6,831117,,Sugar Mill Worker,Operates machines and performs routine tasks to extract juice from sugar cane to make granular sugar and molasses.
ANZSCO 6,831118,,Winery Cellar Hand,Operates machines and performs routine tasks to make and bottle wine.
ANZSCO 6,831211,,Meat Boner and Slicer,"Trims and cuts meat from bones, sides and carcasses."
ANZSCO 6,831212,,Slaughterer,Slaughters livestock and prepares carcasses for further processing by removing internal organs and hides for consumption.
ANZSCO 6,831311,,Meat Process Worker,Processes carcasses of slaughtered livestock and prepares meat and meat products.
ANZSCO 6,831312,,Poultry Process Worker,"Stuns and kills, dresses, trims, cuts into portions, bones, fillets, weighs, grades and packages poultry."
ANZSCO 6,831313,,Seafood Process Worker,"Scales, cleans, fillets, cuts, shells, grades and packages fish and shellfish."
ANZSCO 6,832211,,Product Assembler,"Puts together components and subassemblies that go into the production of metal products, electrical and electronic equipment, jewellery and precious metal articles, and joinery products."
ANZSCO 6,839211,,Plastics Factory Worker,Performs routine tasks in manufacturing plastic goods.
ANZSCO 6,839212,,Rubber Factory Worker,Performs routine tasks in manufacturing tyres and other rubber products.
ANZSCO 6,839311,,Product Examiner,Examines products to ensure conformity to specifications and standards of presentation and quality.
ANZSCO 6,839312,,Product Grader,Grades primary produce by evaluating individual items or batches against established standards and records results.
ANZSCO 6,839313,,Product Tester,"Collects product samples, conducts tests to determine quality of produce and maintains records of results."
ANZSCO 6,839411,,Paper and Pulp Mill Worker,"Performs routine tasks in a paper and pulp mill such as placing logs onto conveyors for chipping, and loading woodchip and pulp for processing."
ANZSCO 6,839412,,Sawmill or Timber Yard Worker,"Performs routine tasks in a sawmill or timber yard such as sorting and stacking timber, assisting timber machinists, assembling orders and racking offcuts."
ANZSCO 6,839413,,Wood and Wood Products Factory Worker,"Performs routine tasks in a wood processing and timber product factory such as placing logs on equipment and conveyors, assisting with measuring and cutting of materials, and setting up and operating plant equipment."
ANZSCO 6,839911,,Cement and Concrete Plant Worker,"Performs routine tasks in manufacturing cement and concrete products such as greasing and assembling concrete moulds, holding reinforcing steel in position during concrete pours, stripping moulds from dried concrete products, and finishing products."
ANZSCO 6,839912,,Chemical Plant Worker,"Performs routine tasks in a chemical processing plant such as delivering materials to processing areas, dumping ingredients into hoppers, operating machines to heat, cool and agitate chemical solutions, filling and fastening covers on containers, and attaching labels and information on products."
ANZSCO 6,839913,,Clay Processing Factory Worker,"Performs routine tasks in manufacturing clay and ceramic products such as loading clay into machines, stacking products on kiln cars, pallets and trolleys, and moving kiln cars and trolleys to and from kilns, dryers, sorting, storage and shipping areas."
ANZSCO 6,839914,,Fabric and Textile Factory Worker,"Performs routine tasks in a fabric and textile factory such as cutting canvas, upholstery and curtain fabrics, delivering materials to machines, operating automatic machines using computerised patterns, pressing partially completed and finished garments, and inspecting and finishing completed garments."
ANZSCO 6,839915,,Footwear Factory Worker,"Performs routine tasks in manufacturing footwear such as basic hand cutting of shoe components, delivering materials to machines, and inspecting and finishing completed footwear."
ANZSCO 6,839916,,Glass Processing Worker,"Performs routine tasks in manufacturing glassware such as setting up, adjusting and repairing automatic machines and equipment, and checking weight of glassware."
ANZSCO 6,839917,,Hide and Skin Processing Worker,"Performs routine tasks in tanning and finishing leather, hides and skins such as fleshing hides by cutting out pieces of flesh and fat, laying out hides and skins for classing and drying and arranging heaters to dry them, spraying dried hides with preservatives, and treating, pressing and securing hides and skins."
ANZSCO 6,839918,,Recycling Worker,"Performs routine tasks in a recycling facility such as sorting, packing and storing plastics, glass, paper, metals and other recyclable materials which have been collected from household, commercial and industrial premises in preparation for use in creating new products."
ANZSCO 6,843111,,Forestry Worker,"Assists with cultivating, maintaining and protecting forests. Registration or licensing may be required."
ANZSCO 6,843112,,Logging Assistant,"Assists with logging, felling and sawing of trees in forests."
ANZSCO 6,843113,,Tree Faller,"Fells trees in forests, and trims and saws them into logs using chainsaws. Registration or licensing may be required"
ANZSCO 6,843211,,Garden Labourer,Assists in cultivating and maintaining gardens.
ANZSCO 6,843311,,Horticultural Nursery Assistant,"Assists in propagating, cultivating and harvesting plants in a horticultural nursery. May also include propagating and cultivating plants for forestry purposes."
ANZSCO 6,843411,,Pest Control Technician,"Applies pest management techniques to manage and control animal and invertebrate pests inside and outside domestic, commercial and industrial premises. Registration or licensing may be required."
ANZSCO 6,843911,,Hunter-Trapper,"Hunts, traps and shoots animals for food, pelts, research and for pest control. Registration or licensing may be required."
ANZSCO 6,851111,,Fast Food Cook,Prepares a restricted range of foods in a fast food establishment.
ANZSCO 6,851211,,Pastrycook's Assistant,"Assists a Pastrycook by performing routine tasks in the kitchen such as preparing ingredients, and cleaning and storing equipment."
ANZSCO 6,851311,,Kitchenhand,"Assists kitchen and service staff in preparing and serving food, and cleans food preparation and service areas."
ANZSCO 6,891211,,Shelf Filler,Fills up shelves and display areas in a store or supermarket.
ANZSCO 6,899111,,Caretaker,"Maintains and cleans a residential building, school, office, holiday camp or caravan park and associated grounds."
ANZSCO 6,899211,,Deck Hand,Performs maintenance and lookout tasks aboard a ship.
ANZSCO 6,899212,,Fishing Hand,"Catches fish, crustacea and molluscs using nets, pots, lines and traps in ocean and inland waters."
ANZSCO 6,899311,,Handyperson,"Cleans, paints, repairs and maintains buildings, grounds and facilities."
ANZSCO 6,899412,,Autoglazier,Repairs and replaces windscreens and side and rear glass in motor vehicles.
ANZSCO 6,899415,,Tyre Fitter,"Fits, repairs and replaces tyres on motor vehicles."
ANZSCO 6,899511,,Printer's Assistant,Performs routine tasks in the production of printed materials.
ANZSCO 6,899512,,Printing Table Worker,Operates bindery machines and performs manual binding and finishing of books and printed products.
ANZSCO 6,899611,,Recycling or Rubbish Collector,"Collects household, commercial and industrial waste for recycling or disposal."
ANZSCO 6,899711,,Vending Machine Attendant,Stocks and maintains vending and amusement machines and collects money from coin boxes.
ANZSCO 6,899911,,Bicycle Mechanic,"Repairs and adjusts bicycles, and assembles bicycle kits."
ANZSCO 6,899912,,Car Park Attendant,"Operates and maintains a car parking facility by guarding cars in parking areas and collecting fees at car park entry or exit points. May drive and park cars, and operate boom gates."
ANZSCO 6,899913,,Crossing Supervisor,"Assists children, disabled and other pedestrians to cross roads by stopping traffic and ensuring all pedestrians have crossed safely before allowing traffic to flow through the crossing."
ANZSCO 6,899914,,Electrical or Telecommunications Trades Assistant,Assists Electrotechnology and Telecommunications Trades Workers to install and maintain electrical and telecommunications systems.
ANZSCO 6,899915,,Leaflet or Newspaper Deliverer,Collects leaflets or newspapers from a collection point and delivers them to homes in a specified area.
ANZSCO 6,899918,,Sign Erector,"Erects and installs signs, and cleans signs and their sites after installation."
ANZSCO 6,899921,,Ticket Collector or Usher,"Collects tickets or admission passes and ushers patrons to their seats at an entertainment, sporting or recreational venue, prepares the venue before an event and locks up premises afterwards."
ANZSCO 6,899923,,Road Traffic Controller,"Manually directs road traffic and pedestrian flows on, near, or adjacent to roads during road closures or part road closures due to construction, maintenance or roadside works; public events; or emergency responses using signs and devices to ensure the safety of workers, motorists and pedestrians."
NEC category,121399,,Livestock Farmers nec,"This occupation group covers Livestock Farmers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 121399 Livestock Farmers nec."
NEC category,121599,,Broadacre Crop Growers nec,"This occupation group covers Broadacre Crop Growers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 121599 Broadacre Crop Growers nec."
NEC category,121699,,Horticultural Crop Growers nec,"This occupation group covers Horticultural Crop Growers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 121699 Horticultural Crop Growers nec."
NEC category,134299,,Health and Welfare Services Managers nec,"This occupation group covers Health and Welfare Services Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 134299 Health and Welfare Services Managers nec."
NEC category,134499,,Education Managers nec,"This occupation group covers Education Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 134499 Education Managers nec."
NEC category,135199,,ICT Managers nec,"This occupation group covers ICT Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 135199 ICT Managers nec."
NEC category,139999,,Specialist Managers nec,"This occupation group covers Specialist Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 139999 Specialist Managers nec."
NEC category,141999,,Accommodation and Hospitality Managers nec,"This occupation group covers Accommodation and Hospitality Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 141999 Accommodation and Hospitality Managers nec."
NEC category,149999,,"Hospitality, Retail and Service Managers nec","This occupation group covers Hospitality, Retail and Service Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 149999 Hospitality, Retail and Service Managers nec."
NEC category,211199,,"Actors, Dancers and Other Entertainers nec","This occupation group covers Actors, Dancers and Other Entertainers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211199 Actors, Dancers and Other Entertainers nec."
NEC category,211299,,Music Professionals nec,"This occupation group covers Music Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211299 Music Professionals nec."
NEC category,211499,,Visual Arts and Crafts Professionals nec,"This occupation group covers Visual Arts and Crafts Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 211499 Visual Arts and Crafts Professionals nec."
NEC category,212399,,"Film, Television, Radio and Stage Directors nec","This occupation group covers Film, Television, Radio and Stage Directors not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 212399 Film, Television, Radio and Stage Directors nec."
NEC category,212499,,Journalists and Other Writers nec,"This occupation group covers Journalists and Other Writers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 212499 Journalists and Other Writers nec."
NEC category,222199,,Financial Brokers nec,"This occupation group covers Financial Brokers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 222199 Financial Brokers nec."
NEC category,222299,,Financial Dealers nec,"This occupation group covers Financial Dealers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 222299 Financial Dealers nec."
NEC category,224999,,Information and Organisation Professionals nec,"This occupation group covers Information and Organisation Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 224999 Information and Organisation Professionals nec."
NEC category,225499,,Technical Sales Representatives nec,"This occupation group covers Technical Sales Representatives not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 225499 Technical Sales Representatives nec."
NEC category,231199,,Air Transport Professionals nec,"This occupation group covers Air Transport Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 231199 Air Transport Professionals nec."
NEC category,231299,,Marine Transport Professionals nec,"This occupation group covers Marine Transport Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 231299 Marine Transport Professionals nec."
NEC category,233999,,Engineering Professionals nec,"This occupation group covers Engineering Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 233999 Engineering Professionals nec."
NEC category,234399,,Environmental Scientists nec,"This occupation group covers Environmental Scientists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 234399 Environmental Scientists nec."
NEC category,234599,,Life Scientists nec,"This occupation group covers Life Scientists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 234599 Life Scientists nec."
NEC category,234999,,Natural and Physical Science Professionals nec,"This occupation group covers Natural and Physical Science Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 234999 Natural and Physical Science Professionals nec."
NEC category,249299,,Private Tutors and Teachers nec,"This occupation group covers Private Tutors and Teachers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 249299 Private Tutors and Teachers nec."
NEC category,251999,,Health Diagnostic and Promotion Professionals nec,"This occupation group covers Health Diagnostic and Promotion Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 251999 Health Diagnostic and Promotion Professionals nec."
NEC category,252299,,Complementary Health Therapists nec,"This occupation group covers Complementary Health Therapists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 252299 Complementary Health Therapists nec."
NEC category,253399,,Specialist Physicians nec,"This occupation group covers Specialist Physicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 253399 Specialist Physicians nec."
NEC category,253999,,Medical Practitioners nec,"This occupation group covers Medical Practitioners not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 253999 Medical Practitioners nec."
NEC category,254499,,Registered Nurses nec,"This occupation group covers Registered Nurses not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 254499 Registered Nurses nec."
NEC category,271299,,Judicial and Other Legal Professionals nec,"This occupation group covers Judicial and Other Legal Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 271299 Judicial and Other Legal Professionals nec."
NEC category,272199,,Counsellors nec,"This occupation group covers Counsellors not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272199 Counsellors nec."
NEC category,272399,,Psychologists nec,"This occupation group covers Psychologists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272399 Psychologists nec."
NEC category,272499,,Social Professionals nec,"This occupation group covers Social Professionals not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 272499 Social Professionals nec."
NEC category,311299,,Medical Technicians nec,"This occupation group covers Medical Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 311299 Medical Technicians nec."
NEC category,311499,,Science Technicians nec,"This occupation group covers Science Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 311499 Science Technicians nec."
NEC category,312199,,"Architectural, Building and Surveying Technicians nec","This occupation group covers Architectural, Building and Surveying Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 312199 Architectural, Building and Surveying Technicians nec."
NEC category,312999,,Building and Engineering Technicians nec,"This occupation group covers Building and Engineering Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 312999 Building and Engineering Technicians nec."
NEC category,313199,,ICT Support Technicians nec,"This occupation group covers ICT Support Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 313199 ICT Support Technicians nec."
NEC category,323299,,Metal Fitters and Machinists nec,"This occupation group covers Metal Fitters and Machinists not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 323299 Metal Fitters and Machinists nec."
NEC category,361199,,Animal Attendants and Trainers nec,"This occupation group covers Animal Attendants and Trainers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 361199 Animal Attendants and Trainers nec."
NEC category,393299,,Clothing Trades Workers nec,"This occupation group covers Clothing Trades Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 393299 Clothing Trades Workers nec."
NEC category,394299,,Wood Machinists and Other Wood Trades Workers nec,"This occupation group covers Wood Machinists and Other Wood Trades Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 394299 Wood Machinists and Other Wood Trades Workers nec."
NEC category,399599,,Performing Arts Technicians nec,"This occupation group covers Performing Arts Technicians not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 399599 Performing Arts Technicians nec."
NEC category,399999,,Technicians and Trades Workers nec,"This occupation group covers Technicians and Trades Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 399999 Technicians and Trades Workers nec."
NEC category,431999,,Hospitality Workers nec,"This occupation group covers Hospitality Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 431999 Hospitality Workers nec."
NEC category,442299,,Security Officers and Guards nec,"This occupation group covers Security Officers and Guards not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 442299 Security Officers and Guards nec."
NEC category,451399,,Funeral Workers nec,"This occupation group covers Funeral Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 451399 Funeral Workers nec."
NEC category,451899,,Personal Service Workers nec,"This occupation group covers Personal Service Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 451899 Personal Service Workers nec."
NEC category,452299,,Outdoor Adventure Guides nec,"This occupation group covers Outdoor Adventure Guides not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 452299 Outdoor Adventure Guides nec."
NEC category,452499,,Sportspersons nec,"This occupation group covers Sportspersons not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 452499 Sportspersons nec."
NEC category,512299,,Practice Managers nec,"This occupation group covers Practice Managers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 512299 Practice Managers nec."
NEC category,561199,,Betting Clerks nec,"This occupation group covers Betting Clerks not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 561199 Betting Clerks nec."
NEC category,561999,,Clerical and Office Support Workers nec,"This occupation group covers Clerical and Office Support Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 561999 Clerical and Office Support Workers nec."
NEC category,599599,,Inspectors and Regulatory Officers nec,"This occupation group covers Inspectors and Regulatory Officers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 599599 Inspectors and Regulatory Officers nec."
NEC category,599999,,Clerical and Administrative Workers nec,"This occupation group covers Clerical and Administrative Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 599999 Clerical and Administrative Workers nec."
NEC category,611399,,Sales Representatives nec,"This occupation group covers Sales Representatives not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 611399 Sales Representatives nec."
